number,x,y,z,qx,qy,qz,qw,attributes
0,6.86382,152.713,8.48839,0.00597028,-0.0390555,0.995829,-0.0821167,
1,5.92304,152.321,8.42712,-0.00492851,-0.0329832,0.979188,-0.200086,
2,4.9591,152.008,8.42198,-0.000208086,-0.0318074,0.994242,-0.102455,
3,3.94655,151.851,8.4018,-0.0018795,-0.0351583,0.994071,-0.102849,
4,2.92105,151.643,8.38095,0.000602915,-0.0331884,0.990653,-0.132285,
5,1.92504,151.302,8.35187,-0.00556966,-0.0321317,0.971373,-0.235414,
6,1.09599,150.647,8.28641,-0.0112518,-0.0276127,0.914586,-0.403341,
7,0.437525,149.883,8.23085,-0.0145878,-0.0251478,0.890938,-0.453225,
8,-0.291386,149.18,8.1609,-0.00892883,-0.0271038,0.89871,-0.437618,
9,-0.759453,148.297,8.06936,-0.0108034,-0.0236288,0.872056,-0.488722,
10,-1.31813,147.464,8.01199,-0.010524,-0.0246474,0.883862,-0.466965,
11,-1.92136,146.643,7.94301,-0.0091717,-0.0215686,0.866662,-0.498332,
12,-2.46588,145.779,7.89486,-0.0110906,-0.0194005,0.852562,-0.522142,
13,-2.90043,144.846,7.83593,-0.0104984,-0.0205987,0.869465,-0.493445,
14,-3.44347,144.008,7.78318,-0.00914548,-0.0201333,0.87235,-0.488393,
15,-4.02304,143.174,7.74985,-0.00521356,-0.0220059,0.90528,-0.424178,
16,-4.7339,142.437,7.70988,-0.0082319,-0.0235994,0.89186,-0.451657,
17,-5.13765,141.497,7.64931,-0.012066,-0.024069,0.816691,-0.576396,
18,-5.41043,140.53,7.59505,-0.0162077,-0.0209048,0.758459,-0.651219,
19,-5.53801,139.507,7.5557,-0.0191779,-0.0172298,0.713465,-0.700249,
20,-5.614,138.499,7.49577,-0.0107971,-0.022642,0.732464,-0.680325,
21,-5.7397,137.471,7.43958,-0.0100593,-0.0298523,0.754856,-0.655133,
22,-5.84168,136.452,7.35979,-0.0173724,-0.0231561,0.712425,-0.701144,
23,-5.82592,135.454,7.27003,-0.0200996,-0.0242998,0.691021,-0.722123,
24,-5.68327,134.461,7.21894,-0.0287344,-0.0196356,0.650509,-0.758727,
25,-5.49924,133.465,7.49512,-0.0480097,0.0183393,0.654543,-0.754284,
26,-5.34998,132.477,7.4196,-0.0508029,0.0178071,0.652761,-0.755644,
27,-5.20602,131.457,7.30579,-0.0508855,0.0115057,0.702588,-0.709681,
28,-5.28194,130.569,6.83593,-0.0198663,-0.0216766,0.682887,-0.729928,
29,-5.23332,129.568,6.77951,-0.0231013,-0.0207141,0.661476,-0.749318,
30,-5.05916,128.564,6.75844,-0.0260155,-0.0139446,0.633591,-0.773108,
31,-4.74584,127.635,7.05488,-0.0535431,0.0228903,0.606205,-0.793189,
32,-4.46901,126.651,7.02764,-0.0577602,0.0244602,0.581107,-0.811407,
33,-4.14255,125.667,6.95242,-0.0598257,0.0257562,0.571859,-0.817758,
34,-3.81772,124.698,6.96078,-0.0606361,0.0270694,0.566556,-0.821317,
35,-3.47958,123.74,6.87258,-0.0604344,0.0300911,0.532903,-0.843475,
36,-3.07838,122.805,6.9091,-0.0578817,0.0281683,0.56199,-0.824618,
37,-2.71555,121.97,6.45228,-0.0672321,0.000620921,0.594416,-0.801349,
38,-2.44959,121.017,6.14001,-0.0322165,-0.0197634,0.593319,-0.80405,
39,-2.09464,120.088,5.93177,-0.0249541,-0.0247006,0.531091,-0.846585,
40,-1.5198,119.262,5.86608,-0.0314171,-0.018455,0.444979,-0.894819,
41,-0.900226,118.469,5.82207,-0.0337244,-0.0176811,0.438584,-0.897903,
42,-0.303195,117.661,5.76673,-0.0317662,-0.0170325,0.447112,-0.893752,
43,0.32388,116.86,5.67017,-0.025165,-0.0226996,0.488114,-0.872129,
44,0.747525,115.917,5.58904,-0.0134425,-0.0269457,0.551023,-0.833933,
45,1.17444,114.981,5.54177,-0.015915,-0.02464,0.521903,-0.852522,
46,1.73096,114.136,5.48179,-0.0216854,-0.0243093,0.408754,-0.912064,
47,2.446,113.386,5.39249,-0.0250602,-0.0247091,0.380741,-0.924012,
48,3.22617,112.758,5.32052,-0.0268325,-0.0217965,0.373268,-0.927096,
49,3.99589,112.115,5.24751,-0.024685,-0.0226388,0.467864,-0.883182,
50,4.55495,111.277,5.1923,-0.0247141,-0.0218745,0.534606,-0.844489,
51,4.8431,110.304,5.10067,-0.018058,-0.0260073,0.680302,-0.732246,
52,4.84397,109.304,5.02035,-0.0101419,-0.0273497,0.726917,-0.686072,
53,4.86377,108.269,4.93437,-0.0163547,-0.0280549,0.666825,-0.744466,
54,4.95514,107.228,4.86643,-0.0120571,-0.0236783,0.684899,-0.728117,
55,5.01691,106.228,4.84477,-0.0136879,-0.0214923,0.692332,-0.721111,
56,5.0169,105.229,4.76374,-0.00339153,-0.0294969,0.703392,-0.710163,
57,5.01226,104.235,4.65023,-0.0120543,-0.0289271,0.716507,-0.696854,
58,5.05085,103.217,4.62094,-0.0116772,-0.0321974,0.662048,-0.748678,
59,5.07333,102.183,4.63277,-0.00794018,-0.0259673,0.669987,-0.741875,
60,5.17473,101.141,4.5825,0.0030786,-0.03733,0.668946,-0.742372,
61,5.22074,100.136,4.49561,0.00596541,-0.0353353,0.658001,-0.752143,
62,5.34424,99.1369,4.52632,0.00410591,-0.0446794,0.660619,-0.749375,
63,5.45741,98.1404,4.37517,0.00143356,-0.0409027,0.666312,-0.744528,
64,5.57988,97.1167,4.28817,0.000724657,-0.0403792,0.67085,-0.740496,
65,5.7016,96.0996,4.18996,0.000293029,-0.0401455,0.671798,-0.739636,
66,5.78799,95.0763,4.08338,6.24904e-05,-0.0385466,0.677678,-0.734326,
67,5.8981,94.05,4.01306,-0.0047038,-0.0390783,0.661052,-0.749311,
68,5.98566,93.0182,3.86255,-0.00434606,-0.0340451,0.673829,-0.738122,
69,6.09423,92.0229,3.762,-0.00648563,-0.030984,0.674259,-0.737781,
70,6.18683,90.9991,3.72808,0.000111201,-0.0370557,0.683803,-0.728725,
71,6.25148,89.9987,3.63975,-0.00837305,-0.0379711,0.665032,-0.745819,
72,6.39879,89.0096,3.59087,-0.0027291,-0.0352233,0.639391,-0.76806,
73,6.53338,87.9938,3.46392,0.0135977,-0.00865587,0.657721,-0.753058,
74,6.68894,86.9879,3.48452,0.0132492,-0.00836997,0.647279,-0.762138,
75,6.84326,85.9899,3.46233,0.0136963,-0.00798903,0.665554,-0.746208,
76,6.94805,84.989,3.44676,0.012609,-0.00741025,0.659081,-0.751926,
77,7.1059,83.96,3.41333,0.0128842,-0.00518003,0.663429,-0.748124,
78,7.19507,82.9276,3.37608,0.0116969,-0.00382976,0.672597,-0.739922,
79,7.32518,81.9358,3.36037,0.00843794,-0.0054766,0.659791,-0.751392,
80,7.44419,80.9366,3.30072,0.00916243,-0.000581719,0.673657,-0.738989,
81,7.54262,79.9226,3.2818,0.0054894,-0.00067912,0.663872,-0.747816,
82,7.6714,78.9078,3.22358,-0.015579,-0.0271426,0.672798,-0.73917,
83,7.75945,77.884,3.17533,-0.0144765,-0.0293184,0.671691,-0.740133,
84,7.6052,76.8894,3.12354,0.000103329,-0.0332504,0.844346,-0.534801,
85,6.92904,76.1107,3.08792,0.0201817,-0.0384821,0.962494,-0.267739,
86,5.95898,75.8611,3.0613,0.00308767,-0.0376431,0.998145,-0.047993,
87,4.92971,75.6704,3.04172,-0.000826456,-0.0334898,0.988367,-0.148263,
88,3.93811,75.3836,3.01704,-0.00402602,-0.0368282,0.990125,-0.135347,
89,2.9248,75.1792,2.98961,-0.00525982,-0.0451459,0.992475,-0.113844,
90,1.94831,74.9478,3.01533,0.00696382,-0.0385442,0.953479,-0.298826,
91,1.21103,74.2679,3.00717,0.011131,-0.0330793,0.932806,-0.358601,
92,0.381467,73.5776,3.02902,0.0108799,-0.0390147,0.919968,-0.389868,
93,-0.278389,72.8174,3.07019,0.00789287,-0.049639,0.872032,-0.486832,
94,-0.626766,71.8931,2.89476,-0.0135848,-0.0365675,0.737122,-0.674603,
95,-0.553611,70.8854,2.74374,-0.0208681,-0.0432119,0.674923,-0.736322,
96,-0.470687,69.8406,2.62266,-0.0210192,-0.0405182,0.671017,-0.740046,
97,-0.320023,68.7955,2.53046,-0.0139534,-0.0279096,0.653862,-0.755973,
