number,x,y,z,qx,qy,qz,qw,attributes
0,0.0389252230525,77.978187561,1.9749557972,0.00269796346962,-0.000242810475505,-0.683356040201,0.730080258846,
1,0.346947520971,77.019203186,1.97907996178,0.00812599361666,-0.000620067977218,-0.517888814029,0.85540911852,
2,0.831646323204,76.1328048706,1.96472239494,0.00387747961825,-0.0045465540874,-0.468054759707,0.883679260769,
3,1.38494980335,75.2167892456,1.94324469566,0.00667478918713,-0.00840963127796,-0.518053540957,0.855280804177,
4,1.79058587551,74.1612472534,1.9279551506,0.00619094076569,-0.00520974590517,-0.582384569647,0.812873141294,
5,2.09091711044,73.16040802,1.93452990055,0.00461057572144,-0.00607383328567,-0.615306783231,0.788250857056,
6,2.33528113365,72.1253204346,1.91372144222,0.00721973563547,-0.00147736875532,-0.616735271506,0.787136136687,
7,2.59961795807,71.0528717041,1.8820182085,0.00740588737288,-0.001963073473,-0.624208440607,0.781220277419,
8,2.82051873207,70.0343093872,1.86486268044,0.00968860426779,-0.00441386025166,-0.624502893691,0.780949924487,
9,3.02424383163,69.0141067505,1.83042860031,0.00596174421042,-0.00077299286236,-0.629012536924,0.777371911302,
10,3.2070081234,68.0068206787,1.79797148705,0.00643615805099,-0.0021399160172,-0.646695016093,0.762718527892,
11,3.34312558174,66.9442062378,1.75733542442,0.00738977122856,-0.00451815369072,-0.677190069634,0.735757152298,
12,3.38933205605,65.8090515137,1.77860426903,0.00365886811468,-0.00218234366769,-0.710662085723,0.703520610911,
13,3.32370686531,64.7155609131,1.7237610817,0.00726114985412,0.00183315219059,-0.7233279864,0.690464002933,
14,3.34106302261,63.6533164978,1.70294070244,0.0062003300993,-0.00038698460942,-0.692795753643,0.721107100148,
15,3.30676674843,62.6191749573,1.67139983177,0.00533405349114,-9.51182643432E-05,-0.722174808044,0.691690021218,
16,3.26766848564,61.5778770447,1.65737533569,0.00546210251163,0.00295852273021,-0.702868459546,0.711292725364,
17,3.30051231384,60.5526428223,1.6496591568,0.00832980752278,-0.000454116789636,-0.679789783802,0.733359569326,
18,3.38119649887,59.5397911072,1.60767555237,0.00665938063562,0.00112826689228,-0.664675714728,0.747101448208,
19,3.45861363411,58.5234375,1.62405598164,0.00487925421426,0.000424612299446,-0.701499651222,0.712652967382,
20,3.44450521469,57.495174408,1.55956315994,0.00422567888882,0.00262049691861,-0.70574568136,0.708447817327,
21,3.43321061134,56.4410247803,1.57015359402,0.00325266461684,0.00273740075383,-0.705565388008,0.708632069593,
22,3.4257080555,55.4054756165,1.51740384102,0.00332718785852,0.00167935914644,-0.705491300627,0.708708779622,
23,3.43285608292,54.4058113098,1.48372864723,0.00321438535877,0.00360011017167,-0.709324888117,0.704865171527,
24,3.38072395325,53.3677330017,1.54025411606,0.00326077426002,-0.00234897319796,-0.709903426997,0.704287564859,
25,3.40425896645,52.3099975586,1.50466775894,0.00413440665098,-0.00089307655766,-0.685515344571,0.728045892409,
26,3.48823714256,51.2700386047,1.46543192863,0.00512007170191,0.00113575911306,-0.663134700655,0.748481705658,
27,3.50728297234,50.2349052429,1.44598865509,0.0026461334536,0.000263743681878,-0.733448890949,0.67973940064,
28,3.41705656052,49.2307395935,1.39586210251,-7.13088533865E-05,0.00526449320328,-0.73069445404,0.682684330318,
29,3.27216601372,48.1578674316,1.41694998741,-0.00058708822534,0.00170527663156,-0.735916880949,0.677069488083,
30,3.2889585495,47.1536026001,1.35897767544,0.00227539525745,0.00217587271549,-0.694595034837,0.719394068459,
31,3.31994485855,46.1530151367,1.36341810226,0.00361911746726,-0.000522748723979,-0.699460199975,0.714662198086,
32,3.31870722771,45.0880470276,1.30841648579,-0.000428843234263,0.00637609986511,-0.712283774545,0.701862512152,
33,3.26065182686,44.0466156006,1.32103049755,0.000119502423325,0.00356391614482,-0.724655019321,0.68910259555,
34,3.19776797295,43.0211410522,1.29905068874,0.00312744594738,0.00394464374329,-0.71347063769,0.700667045052,
35,3.18239855766,42.0198898315,1.25194752216,0.00205398649056,0.00186398922746,-0.696405247417,0.717643391981,
36,3.24511384964,40.9592208862,1.22584748268,0.00347384798022,0.00343991012199,-0.694921192527,0.719069284266,
37,3.24084973335,39.9537200928,1.22069740295,0.00403495649914,0.0044900445207,-0.704930120747,0.709251072251,
38,3.22620654106,38.934841156,1.188382864,-0.000591129848192,0.00451904544466,-0.713613118123,0.700525193291,
39,3.17175459862,37.8637695312,1.1553965807,-0.000544583462157,0.00324780545378,-0.711361938019,0.702818147408,
40,3.15717554092,36.8430328369,1.15478014946,0.00174787566959,-0.00154093911771,-0.717932233826,0.696109099259,
41,3.11063218117,35.7868728638,1.13090693951,-0.000849111503041,-0.000801815899253,-0.726569721196,0.687091752492,
42,3.03767585754,34.7653579712,1.12651801109,0.00292914219841,-0.00435257151945,-0.721315992872,0.69258624999,
43,2.98623251915,33.7560157776,1.12455463409,0.00275801455046,-0.000556069903522,-0.71594907787,0.698146834154,
44,2.96109771729,32.6995544434,1.10499739647,0.000171310212299,0.000165347335114,-0.712236643742,0.701939389566,
45,2.92608714104,31.6719493866,1.09124338627,0.00154694288466,0.00221550673131,-0.708803505903,0.705400799913,
46,2.9308962822,30.5217723846,1.07941973209,0.00381058914499,0.000166704043865,-0.698898261339,0.71521092827,
47,2.95821428299,29.3908786774,1.05483651161,0.000698350928129,0.000320448052965,-0.691706827135,0.722178007775,
48,2.99298119545,28.21717453,1.03985905647,0.00373154600634,0.0015062950148,-0.686045817359,0.727547210237,
49,3.06532502174,27.1826248169,1.01552772522,0.00234239039389,0.000777948193454,-0.679615011792,0.733564819052,
50,3.14619159698,26.068315506,0.98548489809,0.0031713552815,0.00199365873842,-0.675708339379,0.737159553912,
51,3.22249722481,25.0298309326,0.97556501627,0.00077542611993,-0.00038501221355,-0.674525377586,0.738251153384,
52,3.25312709808,23.8503055573,0.96747803688,-0.00043813969528,-0.000308218428035,-0.698415576211,0.715692249462,
53,3.27387571335,22.7967662811,0.965374290943,0.000396273424788,-0.00401873278626,-0.701130920571,0.713021125194,
54,3.23876810074,21.721622467,0.946109414101,0.00754666008367,0.000282258666422,-0.716893517196,0.697141774142,
55,3.17249393463,20.6369934082,0.90629273653,0.00210129493178,-0.000405695875917,-0.729376935275,0.684108694769,
56,3.11535477638,19.5886077881,0.896824061871,0.00365163765408,-0.00140669281035,-0.712531014373,0.70162970313,
57,3.15676474571,18.520072937,0.858758211136,0.00888420514719,-0.00462898442915,-0.672844158403,0.739716419924,
58,3.22869777679,17.4868354797,0.930511415005,0.0143399306141,-0.00270802186125,-0.683044255385,0.730231181335,
59,3.24042987823,16.3394775391,0.829085111618,0.00802853899377,-0.00298019400301,-0.693473528522,0.720431208544,
60,3.19527292252,15.255194664,0.828558564186,0.00634660830983,-0.00506028917846,-0.740954901753,0.671505731625,
61,3.0920817852,14.203663826,0.780602693558,0.00725427099139,-0.00162773995034,-0.726431796028,0.68719834963,
62,3.10384869576,13.1762857437,0.788974165916,0.00751580692658,-0.000914138095201,-0.668330014616,0.743826369902,
63,3.19104266167,12.1754055023,0.776273190975,0.00796589251163,-0.00137264898878,-0.665267807888,0.746561051876,
64,3.26629209518,11.0434465408,0.750515639782,0.00229901617223,-0.00430439193549,-0.698344637635,0.715745034088,
65,3.2700445652,9.90328025818,0.739408910275,0.00507302598926,-0.00544601545181,-0.706882295263,0.707292037257,
66,3.28707051277,8.78036689758,0.72755753994,0.00703998009564,-0.0032125627384,-0.685824451436,0.727725868671,
67,3.3017873764,7.72756719589,0.67419975996,0.00511966792361,-0.00106773845391,-0.689868327882,0.723915975179,
68,3.31119799614,6.68806695938,0.675715267658,0.00149750677387,0.000581443484066,-0.702294276378,0.711884940678,
69,3.31859064102,5.64655828476,0.634086668491,0.00604199902083,0.000567373630392,-0.713968025051,0.700152006024,
70,3.30815124512,4.60851240158,0.62072622776,0.00375901062592,-0.00118011581912,-0.706427871483,0.70777407381,
71,3.31507730484,3.57746958733,0.584110498428,0.00425703641843,-0.00163814281888,-0.687370960176,0.726292198248,
72,3.30153775215,2.51318764687,0.570620954037,0.00435085169909,-0.0012447349418,-0.692240065842,0.721653110551,
73,3.36414456367,1.4763481617,0.551098883152,0.00401712267505,-0.00213053857022,-0.702059862939,0.712103414105,
74,3.3535888195,0.468534886837,0.543622851372,0.00254516363175,-0.00424573936476,-0.692636072606,0.721270245307,
75,3.34348845482,-0.555749237537,0.530597984791,0.00441273485911,-0.00317863722377,-0.712291618418,0.701862575129,
76,3.31681394577,-1.63320100307,0.526633799076,0.00149805058714,-0.0019438613392,-0.731814037691,0.68149995707,
77,3.23998856544,-2.70020341873,0.475686103106,0.00597944502354,-0.000118076199431,-0.741764787391,0.670633456131,
78,3.12916636467,-3.72619080544,0.473804920912,0.00310842130045,-0.00249485354715,-0.736249954417,0.676697951854,
79,3.04799437523,-4.74904918671,0.459376215935,0.00301315132526,-0.00316712497834,-0.714091950344,0.700038268019,
80,3.02666378021,-5.79934978485,0.427858561277,0.00395753737247,-0.00342774508977,-0.709600640231,0.704584643493,
81,3.00624465942,-6.86707544327,0.402193456888,0.00273403251538,-0.00168064850327,-0.706373155074,0.707832371595,
82,2.99446558952,-7.9282450676,0.384319126606,0.00350609843282,-0.00231253716322,-0.702791082509,0.71138390043,
83,3.01679706573,-8.97276687622,0.357900559902,0.00373389988408,-0.0025017911292,-0.699759420208,0.714364439808,
84,3.0488140583,-10.0005130768,0.301515758038,0.00630953162807,-0.00214904276694,-0.696765604365,0.717267916471,
85,3.06112360954,-11.0794849396,0.298711627722,0.000137359651049,-0.00374187960273,-0.693475918595,0.720470075575,
