number,x,y,z,qx,qy,qz,qw,attributes
0,0.0619791,0.0140759,-0.865095,0.00492745,-0.00364747,0.000751254,0.999981,
1,1.07102,0.0176445,-0.861604,0.00510422,-0.00339259,-0.000254728,0.999981,
2,2.13389,0.0126504,-0.859349,0.00495412,-0.00320915,-0.00326659,0.999977,
3,3.17542,0.00577516,-0.855291,0.00537509,-0.00352525,-0.00824942,0.999945,
4,4.19722,-0.00933739,-0.856782,0.00538723,-0.00359537,-0.0124548,0.999901,
5,5.24555,-0.0371281,-0.860094,0.00526144,-0.00395095,-0.016775,0.999838,
6,6.24548,-0.0576041,-0.853471,0.00516584,-0.00419083,-0.0209031,0.999759,
7,7.31857,-0.097093,-0.847057,0.00508052,-0.00455662,-0.0249599,0.999665,
8,8.35985,-0.141538,-0.839233,0.00525255,-0.00485245,-0.0283619,0.999572,
9,9.44133,-0.201821,-0.83309,0.00557101,-0.00498252,-0.032457,0.999445,
10,10.5313,-0.261024,-0.826989,0.00574453,-0.00486837,-0.0365674,0.999303,
11,11.5703,-0.331133,-0.824437,0.00594065,-0.00474847,-0.0403797,0.999155,
12,12.619,-0.465691,-0.817173,0.00586246,-0.0038301,-0.161472,0.986852,
13,13.6266,-1.02879,-0.816423,0.00652137,-0.00237626,-0.364892,0.931024,
14,14.2999,-1.94156,-0.817262,0.00676405,-0.000613633,-0.543072,0.839659,
15,14.5592,-2.92923,-0.820782,0.00650852,0.000885724,-0.677684,0.735324,
16,14.7185,-3.95917,-0.828212,0.00646727,-5.01964e-05,-0.609577,0.792701,
17,15.0924,-4.89083,-0.834529,0.00627918,-0.000833756,-0.508219,0.861205,
18,15.7283,-5.72451,-0.839538,0.00633341,-0.00192391,-0.395866,0.918284,
19,16.534,-6.36169,-0.844947,0.00617267,-0.00277507,-0.280049,0.959962,
20,17.4809,-6.78466,-0.846124,0.00629698,-0.00374792,-0.165127,0.986245,
21,18.5368,-6.97397,-0.841844,0.00646593,-0.00529495,-0.0291886,0.999539,
22,19.6355,-6.88754,-0.832942,0.00542195,-0.00592713,0.121468,0.992563,
23,20.6093,-6.53503,-0.824095,0.00446304,-0.00610993,0.250109,0.968188,
24,21.4607,-5.95929,-0.811794,0.00356454,-0.00678825,0.368633,0.929543,
25,22.139,-5.15952,-0.798995,0.00277795,-0.00695448,0.483117,0.875524,
26,22.6009,-4.23466,-0.78506,0.0019343,-0.00747892,0.581207,0.813719,
27,22.8358,-3.10536,-0.770696,0.00130041,-0.00776918,0.682688,0.730668,
28,22.7808,-2.0761,-0.76128,0.00053557,-0.00791911,0.764947,0.644044,
29,22.414,-1.0472,-0.755196,-0.000822489,-0.00762672,0.859536,0.511017,
30,21.5299,-0.0854067,-0.749787,-0.00270491,-0.00709864,0.955254,0.295689,
31,20.5954,0.303476,-0.755278,-0.00422526,-0.00668029,0.992041,0.125669,
32,19.5632,0.355787,-0.76459,-0.00539922,-0.00582005,0.996879,-0.0785461,
33,18.5688,0.165782,-0.76859,-0.00532629,-0.00526173,0.993492,-0.113654,
34,17.5797,-0.0368843,-0.780783,-0.00539355,-0.0054693,0.992862,-0.119017,
35,16.5049,-0.273175,-0.789406,-0.00515828,-0.00515862,0.992245,-0.124082,
36,15.4884,-0.509624,-0.798931,-0.00501697,-0.00508373,0.991846,-0.127239,
37,14.4753,-0.750309,-0.808625,-0.00508464,-0.00514176,0.991418,-0.130532,
38,13.4842,-0.998691,-0.820157,-0.00485167,-0.00533326,0.990768,-0.135378,
39,12.4792,-1.24837,-0.82729,-0.00447103,-0.00536744,0.990049,-0.140548,
40,11.5046,-1.50024,-0.830661,-0.00446547,-0.00520028,0.989479,-0.144514,
41,10.4991,-1.77743,-0.837873,-0.0043009,-0.00516785,0.988641,-0.150146,
42,9.53361,-2.04211,-0.842477,-0.00461162,-0.00419627,0.988009,-0.154272,
43,8.55508,-2.33143,-0.852609,-0.00438048,-0.0039619,0.98724,-0.159132,
44,7.55743,-2.63167,-0.858628,-0.00390517,-0.00371805,0.986469,-0.163857,
45,6.57678,-2.94934,-0.869354,-0.00382377,-0.00351511,0.985668,-0.168615,
46,5.55468,-3.28238,-0.87555,-0.00345358,-0.00400599,0.984833,-0.173427,
47,4.38531,-3.68215,-0.883146,-0.00348092,-0.00440427,0.983761,-0.179395,
48,3.37872,-4.01564,-0.88654,-0.00325733,-0.00460081,0.982961,-0.183727,
