number,x,y,z,qx,qy,qz,qw,attributes
0,0.0589441,0.0135988,-0.864806,0.00459019,-0.00355373,0.000672933,0.999983,
1,1.08569,0.0156515,-0.860476,0.00519026,-0.00346534,-0.000791505,0.99998,
2,2.12627,0.00821294,-0.86447,0.00501718,-0.00340345,-0.00565365,0.999966,
3,3.2164,-0.00729124,-0.8533,0.00519783,-0.00329875,-0.0144209,0.999877,
4,4.26824,-0.0348127,-0.859181,0.00546122,-0.00370737,-0.0215421,0.999746,
5,5.30691,-0.0750374,-0.857277,0.00522535,-0.00404316,-0.02832,0.999577,
6,6.34863,-0.122868,-0.848214,0.00500827,-0.00407056,-0.0351591,0.999361,
7,-6.80972,-0.36949,0.9139,-0.00521252,0.00438836,0.0385411,0.999234,Wait:5,
8,6.82523,-0.144632,-0.852645,0.00524562,-0.00440764,-0.0388603,0.999221,
9,7.87699,-0.221383,-0.843476,0.00515592,-0.00474405,-0.0453902,0.998945,
10,8.93582,-0.310709,-0.836475,0.00561523,-0.00461108,-0.0523163,0.998604,
11,9.9393,-0.411697,-0.830711,0.00573763,-0.00452955,-0.0582408,0.998276,
12,11.0282,-0.524223,-0.827702,0.00575626,-0.00443161,-0.0636592,0.997945,
13,12.0355,-0.646404,-0.82175,0.00595979,-0.00443901,-0.0703474,0.997495,
14,13.0306,-0.761251,-0.815025,0.00607395,-0.00474935,-0.0787202,0.996867,
